predio,comuna,latitud,longitud,score,nivel
PARCELAS SURCO Y SEMILLA,COLLIPULLI,-38.013647,-72.292908,100.0,CRÍTICO
PARCELA 1 EL PROGRESO,COLLIPULLI,-37.987656,-72.228044,100.0,CRÍTICO
PARCELAS CHANCAHUE,COLLIPULLI,-37.940822,-72.28634,100.0,CRÍTICO
PARCELA 13 EL PROGRESO,COLLIPULLI,-37.960506,-72.2079,100.0,CRÍTICO
PARCELA 8 EL PROGRESO,COLLIPULLI,-37.972174,-72.217601,100.0,CRÍTICO
PARCELA 3 EL PROGRESO LOTE A,COLLIPULLI,-37.987841,-72.211008,100.0,CRÍTICO
PARCELA 21 UNION CHILENA,COLLIPULLI,-38.033568,-72.201822,100.0,CRÍTICO
PARCELA 19 EL PROGRESO,COLLIPULLI,-37.947098,-72.207599,100.0,CRÍTICO
SANTA BALBINA (LOTE A ),COLLIPULLI,-37.971442,-72.394344,100.0,CRÍTICO
PICHACO LOTE-A,COLLIPULLI,-38.012571,-72.356135,100.0,CRÍTICO
PARCELA 7 NIZA LOTE A,COLLIPULLI,-37.894163,-72.375334,100.0,CRÍTICO
PARCELA 42 SURCO Y SEMILLA,COLLIPULLI,-38.021491,-72.227318,100.0,CRÍTICO
PARCELA 81 RESERVA FORESTAL MALLECO L-A,COLLIPULLI,-38.098398,-71.807712,86.0,CRÍTICO
PARCELA 9 EL EDEN,COLLIPULLI,-37.896429,-72.47551,100.0,CRÍTICO
HIJUELA SANTA ROSA Y LOS,ERCILLA,-37.974298,-72.454283,100.0,CRÍTICO
GUAYACAN Y OTROS,COLLIPULLI,-38.064165,-72.184957,100.0,CRÍTICO
LA CONQUISTA Y OTROS,COLLIPULLI,-38.115551,-72.107355,100.0,CRÍTICO
GASPARITO Y OTROS,COLLIPULLI,-37.973672,-72.256936,100.0,CRÍTICO
SANTA CATALINA,COLLIPULLI,-38.020647,-72.306078,100.0,CRÍTICO
PARCELAS SAN JORGE,COLLIPULLI,-37.94398,-72.328692,100.0,CRÍTICO
PARCELA 20 LIBERTAD CAMPESINA,COLLIPULLI,-38.047722,-72.256476,100.0,CRÍTICO
PARCELAS TRANQUENANCO,COLLIPULLI,-37.932162,-72.210408,100.0,CRÍTICO
SAN CARLOS CHICO LOTE B1,COLLIPULLI,-37.953461,-72.388759,100.0,CRÍTICO
PARCELAS SAN JORGE,COLLIPULLI,-37.91269,-72.334402,100.0,CRÍTICO
HIJUELA 2 LOTE 1A RES.FOR.MALLECO,COLLIPULLI,-38.071859,-71.868839,98.0,CRÍTICO
MAPUÑANCO LOTE 1B RESERVA CORA N┬░1,COLLIPULLI,-38.032728,-72.119541,100.0,CRÍTICO
SANTA ELISA II,COLLIPULLI,-37.776424,-72.491579,100.0,CRÍTICO
HIJUELA 4 ETIOPIA,COLLIPULLI,-37.906079,-72.391103,100.0,CRÍTICO
PLANTA PACIFICO,COLLIPULLI,-37.780599,-72.483454,100.0,CRÍTICO
PLANTA CONTRACHAPADO (PLYWOOD),COLLIPULLI,-37.797709,-72.47857,100.0,CRÍTICO
SANTA MARINA LOTE B 2,RENAICO,-37.827797,-72.52458,100.0,CRÍTICO
LOS ALPES LOTE 2,ANGOL,-37.848512,-72.594415,100.0,CRÍTICO
UNIDAD CAMPESINA PC-3 LT-B,ANGOL,-37.862816,-72.573661,100.0,CRÍTICO
CHUMPIRRO LT-E2,RENAICO,-37.791241,-72.574662,100.0,CRÍTICO
NIZA PC-10,COLLIPULLI,-37.877623,-72.345392,100.0,CRÍTICO
MELICO,COLLIPULLI,-37.800489,-72.445764,100.0,CRÍTICO
CASA MININCO,COLLIPULLI,-37.797843,-72.473313,100.0,CRÍTICO
