id,nombre_predio,comuna,latitud,longitud,nivel_importancia,hectareas
1908,HACIENDA RUPANCO NORTE,PUERTO OCTAY,-40.839119,-72.741679,BAJO,4067.13
1909,HACIENDA RUPANCO SUR,PUERTO OCTAY,-40.878332,-72.745341,BAJO,1338.88
1910,RIACHUELO LOTE A,RIO NEGRO,-40.816434,-73.379068,BAJO,223.1
1911,RUPANCO OESTE,PUERTO OCTAY,-40.820116,-72.828859,BAJO,1958.96
1912,RUPANCO ESTE,PUERTO OCTAY,-40.89505,-72.686708,BAJO,3472.12
1913,RUPANCO SUR 2,PUERTO OCTAY,-40.917022,-72.713764,BAJO,666.58
1914,RUPANCO SUR 3,PUERTO OCTAY,-40.93711,-72.637502,BAJO,2338.64
1915,FRESIA,MULCHEN,-37.881168,-72.056473,MEDIO,771.15
1916,SANTO DOMINGO,LUMACO,-38.286306,-73.089408,MEDIO,521.66
1917,SAN JUAN DE PELLAHUEN Y OTRO,LUMACO,-38.349081,-73.150714,MEDIO,182.82
1918,LAS VACAS,LUMACO,-38.424768,-73.265619,MEDIO,1881.75
1919,SAN MIGUEL,LUMACO,-38.379748,-73.116213,MEDIO,1035.75
1920,VENECIA,LUMACO,-38.374689,-73.192072,MEDIO,2270.79
1921,LOS EUCALIPTUS Y OTRO,MULCHEN,-37.894092,-72.192375,MEDIO,227.41
1922,CAMPO AMOR Y OTRO,MULCHEN,-37.865965,-72.310568,MEDIO,642.61
1923,EL RETIRO Y EL ACACIO,MULCHEN,-37.860719,-72.040757,MEDIO,124.28
1924,PARCELAS 5 Y 6 CHUMULCO,MULCHEN,-37.801494,-72.278591,MEDIO,128.69
1925,LOS MAITENES,SANTA BARBARA,-37.633038,-71.871207,BAJO,38.64
1926,PARCELAS ARILAHUEN,SANTA BARBARA,-37.635023,-71.933566,BAJO,256.24
1927,LOS CASTAÑOS LOTE 1,EL CARMEN,-36.974068,-71.805718,BAJO,126.72
1928,COIHUECO LOTE A,QUILLECO,-37.491837,-71.918756,BAJO,3264.04
1929,BAIKAL,SANTA BARBARA,-37.666931,-71.946417,BAJO,63.16
